Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
40%A-60%B_a_1,11.06278,15.84752,20.18753,26.18418,29.8155,28.58902,26.03444,36.11216,50.146,53.42843,55.18381,60.57215,56.39625,54.8409,52.63717,46.35308,44.30061,35.87677,1.688504,2.537243,2.987621,3.424091,3.721431,3.676051,3.427044,4.056455,4.180444,4.138924,4.183342,4.239202,4.049281,4.001933,4.012855,3.61496,3.614161,3.454427
40%A-60%B_b_1,11.19203,15.93376,20.27889,26.29806,29.88579,28.65482,26.12101,36.11167,50.16441,53.44573,55.21099,60.64799,56.4774,54.92523,52.72982,46.43878,44.38319,35.94619,1.596267,2.387947,2.841234,3.311692,3.596537,3.555405,3.361428,3.890859,3.947376,3.905965,3.951719,4.039645,3.906319,3.863669,3.876537,3.49391,3.49545,3.343376
40%A-60%B_c_1,11.10323,15.94976,20.27286,26.19784,29.80796,28.58636,26.00991,36.05942,50.09708,53.39962,55.1741,60.67893,56.6114,55.06605,52.8788,46.59508,44.54409,36.11827,1.773637,2.66633,3.174677,3.691504,3.992013,3.926367,3.653971,4.374496,4.603627,4.585494,4.642876,4.753648,4.536677,4.476274,4.473175,3.989199,3.955119,3.64763
40%A-60%B_d_1,10.99577,15.83881,20.101,25.89463,29.59803,28.40596,25.8021,36.16491,50.32447,53.63209,55.43764,60.96065,56.75766,55.21476,53.03988,46.76455,44.72161,36.31831,1.736066,2.65393,3.153678,3.667683,3.951269,3.889556,3.623909,4.241394,4.407466,4.369846,4.421423,4.481745,4.295512,4.24187,4.253814,3.842175,3.831634,3.619231
40%A-60%B_e_1,11.1825,16.19301,20.49979,26.27266,30.12339,28.962,26.31862,37.02595,50.93881,54.0962,55.81845,60.89402,56.3964,54.84655,52.68086,46.52284,44.50744,36.21954,1.771684,2.680088,3.204692,3.756991,4.11121,4.051046,3.779079,4.50962,4.691288,4.662325,4.721497,4.819657,4.580035,4.522976,4.524156,4.066987,4.056333,3.833318
50%A-50%B_a_1,10.29089,14.88548,18.92948,24.38871,27.83559,26.73284,24.66165,34.4087,47.83785,51.40631,53.47523,60.52089,56.27068,54.66302,52.38605,46.28437,44.35095,36.23098,1.425929,2.103424,2.509484,2.942582,3.262845,3.220109,2.998049,3.693234,3.922311,3.897569,3.951564,4.118544,4.091156,4.021901,4.023147,3.599434,3.586433,3.352425
50%A-50%B_b_1,10.50522,15.29831,19.43017,24.96012,28.37163,27.24125,25.08074,34.76667,48.29219,51.85212,53.91894,60.83458,56.7132,55.14071,52.91414,46.78279,44.82655,36.66061,1.527338,2.3566,2.847042,3.372031,3.77841,3.711278,3.401246,4.344088,4.639123,4.589975,4.650047,4.712375,4.543141,4.47614,4.490691,4.104975,4.100289,3.875829
50%A-50%B_c_1,10.6299,15.45304,19.61401,25.15982,28.54598,27.41342,25.25882,34.85561,48.29329,51.84451,53.88083,60.77748,56.64753,55.07279,52.83974,46.6873,44.72961,36.54337,1.59239,2.392429,2.854311,3.32366,3.662644,3.601521,3.307914,4.098651,4.28784,4.24865,4.303602,4.421937,4.251936,4.178008,4.169031,3.724389,3.709758,3.47086
50%A-50%B_d_1,10.58208,15.30904,19.41569,24.90728,28.27311,27.14009,24.99098,34.57156,48.11536,51.71608,53.79333,60.86838,56.77843,55.19022,52.93128,46.73491,44.76926,36.55235,1.446323,2.175363,2.607565,3.05906,3.35294,3.295068,3.037008,3.711791,3.823122,3.787904,3.840813,4.032613,3.947258,3.855039,3.821396,3.320899,3.286982,3.035873
50%A-50%B_e_1,10.6478,15.4538,19.50659,24.84048,28.48159,27.38097,25.0631,35.38124,48.55862,52.01182,54.0585,60.95913,56.42459,54.84934,52.63348,46.6828,44.81055,36.88156,1.594152,2.434928,2.916197,3.425771,3.796949,3.734649,3.441036,4.249078,4.451837,4.379639,4.398867,4.39501,4.217216,4.146262,4.148209,3.738455,3.731835,3.539157
60%A-40%B_a_1,10.3769,15.2114,19.39068,25.08495,28.6411,27.46565,25.05723,34.97206,48.80259,52.376,54.4273,61.63426,58.00775,56.43843,54.27888,48.04982,46.09509,37.89113,1.610027,2.492716,3.040913,3.622786,4.013184,3.938585,3.63221,4.599334,5.084797,5.098013,5.173545,5.406233,5.154227,5.062299,5.099882,4.560414,4.534726,4.177556
